ID	XL	YL	XR	YR
1	4389.0000	1669.0000	2504.1963	1669.2732
2	3311.0000	1747.0000	1421.7214	1746.8152
3	4694.0000	882.0000	2811.3529	882.0882
4	2886.0000	932.0000	978.8281	944.1542
5	3294.0000	1439.0000	1411.5353	1438.7143
6	3455.0000	1751.0000	1566.7050	1751.1053
7	4427.0000	465.0000	2545.4484	464.9849
8	3315.0000	1705.0000	1426.2221	1705.1650
9	3406.0000	2091.0000	1501.8385	2091.2030
10	3289.0000	1352.0000	1403.5973	1351.8186
11	3267.0000	1480.0000	1384.5485	1480.0527
12	3322.0000	1358.0000	1437.1830	1357.8581
13	3247.0000	1510.0000	1363.9864	1510.5682
14	3214.0000	1349.0000	1330.1379	1349.2802
15	2241.0000	1524.0000	358.4781	1523.7766
16	3151.0000	1544.0000	1267.7655	1544.1693
17	3265.0000	1638.0000	1380.4164	1638.2321
18	2623.0000	910.0000	733.1145	918.8145
19	3321.0000	1524.0000	1438.2583	1524.0319
20	2616.0000	1038.0000	715.5921	1027.0864
21	3256.0000	1362.0000	1371.0690	1361.6338
22	4786.0000	1749.0000	2899.2603	1749.2247
23	4455.0000	3338.0000	2556.9838	3337.8611
24	3887.0000	1889.0000	1984.6488	1889.2859
25	2288.0000	1482.0000	404.2818	1482.0542
26	3304.0000	2150.0000	1398.9275	2150.1028
27	3592.0000	3469.0000	1687.8867	3469.0462
28	3334.0000	2083.0000	1429.7210	2082.9768
29	4630.0000	2705.0000	2732.1591	2705.0896
30	4920.0000	1738.0000	3035.2603	1738.0754
31	3796.0000	3613.0000	1896.7139	3612.7904
32	2751.0000	1757.0000	867.4506	1757.2057
33	4582.0000	2717.0000	2683.9711	2717.1300
34	3323.0000	1317.0000	1440.2146	1317.0549
35	4566.0000	2585.0000	2667.1899	2585.2774
36	4275.0000	1902.0000	2370.1335	1902.2108
37	3258.0000	1456.0000	1374.9948	1456.0160
38	4241.0000	4050.0000	2355.3059	4057.8295
39	5060.0000	2423.0000	3156.8870	2423.1048
40	2569.0000	3801.0000	674.6215	3801.3004
41	4904.0000	1800.0000	2995.8648	1800.0504
42	2740.0000	1691.0000	857.9284	1691.3546
43	3811.0000	2997.0000	1915.5728	2984.7183
44	4015.0000	1899.0000	2110.1713	1899.0795
45	4820.0000	1738.0000	2934.9702	1738.2494
46	5037.0000	2326.0000	3130.2536	2325.8664
47	3910.0000	3715.0000	2020.4663	3715.0609
48	4783.0000	1846.0000	2874.5002	1845.9498
49	4136.0000	3408.0000	2235.3042	3408.2107
50	3092.0000	2095.0000	1185.9600	2095.2060
51	3796.0000	1868.0000	1893.4962	1868.0314
52	3356.0000	1901.0000	1463.4682	1901.3253
53	4827.0000	1809.0000	2919.3243	1809.0459
54	4592.0000	2476.0000	2685.7246	2476.1364
55	4301.0000	3601.0000	2415.5113	3601.0310
56	4092.0000	1894.0000	2186.8362	1894.0907
57	4847.0000	1739.0000	2961.9036	1739.0364
58	4486.0000	3501.0000	2588.7692	3500.8500
59	3053.0000	2078.0000	1146.2201	2078.2194
60	3197.0000	2037.0000	1296.3481	2036.9461
61	2785.0000	859.0000	902.5295	861.4977
62	4312.0000	2253.0000	2408.1986	2253.1271
63	4974.0000	1730.0000	3089.1227	1729.9909
64	4240.0000	1906.0000	2335.5591	1906.3615
65	3913.0000	3554.0000	2012.8397	3553.9516
66	2440.0000	4083.0000	547.2742	4082.7795
67	4081.0000	1960.0000	2175.0103	1960.2614
68	3876.0000	3483.0000	1974.4691	3483.2217
69	4608.0000	1823.0000	2701.8744	1822.7648
70	4972.0000	4155.0000	3088.9248	4154.6758
71	3352.0000	1708.0000	1462.7483	1707.8528
72	4151.0000	3491.0000	2256.7918	3490.5546
73	4637.0000	2205.0000	2741.4238	2192.8917
74	4333.0000	2188.0000	2428.2688	2188.1856
75	5002.0000	1782.0000	3095.1150	1782.1084
76	4054.0000	1894.0000	2149.2844	1894.4738
77	4398.0000	1892.0000	2491.8594	1891.9319
78	4628.0000	2372.0000	2721.9752	2372.0287
79	4595.0000	2693.0000	2696.6157	2693.0932
80	4868.0000	1795.0000	2960.7744	1794.9869
81	4589.0000	3586.0000	2693.9242	3585.8001
82	4758.0000	2842.0000	2860.4081	2842.1416
83	4684.0000	2733.0000	2785.8665	2733.2133
84	4726.0000	1890.0000	2817.6846	1890.2378
85	5065.0000	4024.0000	3181.2668	4020.8342
86	4880.0000	2313.0000	2973.4824	2313.2132
87	4031.0000	3353.0000	2130.9292	3353.0626
88	4015.0000	1940.0000	2109.0587	1940.1142
89	3167.0000	747.0000	1270.9525	740.5296
90	4595.0000	3556.0000	2699.7025	3555.8065
91	3498.0000	1712.0000	1611.9262	1712.2584
92	2893.0000	148.0000	1001.9159	150.3831
93	4325.0000	2278.0000	2420.7671	2278.0958
94	2310.0000	3890.0000	414.9970	3889.6461
