ID	XL	YL	XR	YR
1	573.0000	857.0000	451.8899	821.0231
2	556.0000	952.0000	436.1252	914.8707
3	414.0000	1061.0000	296.2498	1022.1963
4	720.0000	1022.0000	597.7203	983.7793
5	629.0000	883.0000	508.0080	846.7337
6	484.0000	864.0000	364.3265	828.0228
7	296.0000	945.0000	179.9446	908.1357
8	400.0000	927.0000	282.1497	890.3783
9	269.0000	283.0000	150.0694	252.3503
10	258.0000	873.0000	142.6504	837.2643
11	599.0000	930.0000	478.4862	893.1617
12	355.0000	487.0000	235.9746	454.9310
13	171.0000	772.0000	56.6805	737.6755
14	452.0000	889.0000	333.2616	852.8453
15	465.0000	1105.0000	347.1643	1065.5421
16	446.0000	740.0000	327.1539	705.6721
17	623.0000	789.0000	501.6762	753.7567
18	546.0000	355.0000	424.4180	322.9064
19	352.0000	1070.0000	235.8218	1031.1556
20	480.0000	662.0000	360.3348	628.3796
21	221.0000	775.0000	105.3742	740.3959
22	672.0000	628.0000	549.8835	594.1834
23	664.0000	979.0000	542.7585	941.4658
24	517.0000	499.0000	396.0662	466.4190
25	352.0000	884.0000	235.2089	847.9254
26	522.0000	422.0000	400.8390	389.7580
27	584.0000	1085.0000	464.0342	1045.8620
28	285.0000	841.0000	168.8333	805.6286
29	538.0000	562.0000	417.0872	528.8604
30	570.0000	732.0000	449.1727	697.4968
31	549.0000	887.0000	428.3225	850.6680
32	253.0000	804.0000	137.3131	769.2256
33	171.0000	617.0000	55.4770	584.3867
34	514.0000	603.0000	393.5885	569.7185
35	168.0000	986.0000	55.0789	948.6195
36	331.0000	936.0000	214.4289	899.2154
37	136.0000	1147.0000	23.9694	1106.6800
38	332.0000	832.0000	215.3590	796.7309
39	336.0000	1014.0000	219.1616	975.9913
40	291.0000	490.0000	172.0736	457.9725
41	245.0000	635.0000	128.2318	601.9734
42	454.0000	426.0000	333.5978	393.9893
43	558.0000	770.0000	437.1446	735.0505
44	454.0000	586.0000	334.3909	552.9691
45	255.0000	936.0000	140.2345	899.3282
46	278.0000	221.0000	158.4803	190.3880
47	391.0000	875.0000	273.2993	839.1240
48	605.0000	745.0000	483.6635	710.3517
49	643.0000	761.0000	521.4143	725.9950
50	331.0000	63.0000	210.1093	32.4006
51	316.0000	536.0000	197.7221	503.7476
52	272.0000	251.0000	152.7471	220.3898
